gcc_size, pn 
990, 0.99
980, 0.98
970, 0.97
960, 0.96
950, 0.95
940, 0.94
930, 0.93
920, 0.92
910, 0.91
900, 0.9
890, 0.89
880, 0.88
869, 0.869
859, 0.859
849, 0.849
839, 0.839
829, 0.829
819, 0.819
809, 0.809
799, 0.799
789, 0.789
779, 0.779
769, 0.769
759, 0.759
749, 0.749
738, 0.738
728, 0.728
717, 0.717
707, 0.707
697, 0.697
685, 0.685
675, 0.675
663, 0.663
652, 0.652
641, 0.641
631, 0.631
621, 0.621
611, 0.611
601, 0.601
591, 0.591
581, 0.581
571, 0.571
561, 0.561
550, 0.55
540, 0.54
530, 0.53
520, 0.52
510, 0.51
500, 0.5
490, 0.49
476, 0.476
465, 0.465
453, 0.453
442, 0.442
431, 0.431
419, 0.419
409, 0.409
399, 0.399
387, 0.387
374, 0.374
364, 0.364
347, 0.347
334, 0.334
323, 0.323
312, 0.312
301, 0.301
288, 0.288
277, 0.277
260, 0.26
249, 0.249
231, 0.231
215, 0.215
202, 0.202
183, 0.183
158, 0.158
143, 0.143
126, 0.126
95, 0.095
63, 0.063
39, 0.039
17, 0.017
2, 0.002
