gcc_size, pn/p, pc,p, avg_degree 
126123, 2.17151, 0.000390107, 5.41128, 5.41128
124803, 2.12834, 0.000382353, 5.35981, 5.35981
123485, 2.08475, 0.00037452, 5.30605, 5.30605
122171, 2.04188, 0.000366819, 5.25283, 5.25283
120855, 1.99942, 0.000359191, 5.19962, 5.19962
119538, 1.95648, 0.000351477, 5.144, 5.144
118215, 1.91566, 0.000344145, 5.09306, 5.09306
116896, 1.87458, 0.000336764, 5.04007, 5.04007
115567, 1.83391, 0.000329458, 4.98743, 4.98743
114243, 1.7931, 0.000322127, 4.93296, 4.93296
112905, 1.75302, 0.000314927, 4.87985, 4.87985
111566, 1.71344, 0.000307815, 4.8269, 4.8269
110232, 1.67374, 0.000300684, 4.77214, 4.77214
108887, 1.63501, 0.000293726, 4.7193, 4.7193
107556, 1.59744, 0.000286976, 4.66789, 4.66789
106210, 1.55855, 0.00027999, 4.61198, 4.61198
104867, 1.52098, 0.000273242, 4.55846, 4.55846
103516, 1.4841, 0.000266614, 4.50595, 4.50595
102157, 1.44804, 0.000260137, 4.45497, 4.45497
100815, 1.41208, 0.000253677, 4.40216, 4.40216
99438, 1.37649, 0.000247284, 4.35065, 4.35065
98072, 1.34126, 0.000240954, 4.29833, 4.29833
96722, 1.30704, 0.000234807, 4.24714, 4.24714
95351, 1.27265, 0.000228628, 4.19484, 4.19484
93980, 1.23928, 0.000222634, 4.14443, 4.14443
92590, 1.2045, 0.000216384, 4.08861, 4.08861
91197, 1.1707, 0.000210314, 4.03458, 4.03458
89803, 1.13775, 0.000204395, 3.98189, 3.98189
88393, 1.10578, 0.000198652, 3.93174, 3.93174
86980, 1.07353, 0.000192857, 3.87905, 3.87905
85569, 1.04242, 0.000187268, 3.82875, 3.82875
84131, 1.01185, 0.000181776, 3.77999, 3.77999
82695, 0.981758, 0.000176371, 3.73128, 3.73128
81251, 0.950589, 0.000170769, 3.67702, 3.67702
79783, 0.921158, 0.000165484, 3.62874, 3.62874
78329, 0.891893, 0.000160227, 3.57867, 3.57867
76872, 0.863486, 0.000155123, 3.53036, 3.53036
75377, 0.834417, 0.000149901, 3.47918, 3.47918
73906, 0.80645, 0.000144877, 3.42949, 3.42949
72421, 0.778775, 0.000139905, 3.37971, 3.37971
70900, 0.750158, 0.000134764, 3.32536, 3.32536
69388, 0.722553, 0.000129805, 3.27278, 3.27278
67834, 0.69575, 0.00012499, 3.22358, 3.22358
66298, 0.669383, 0.000120251, 3.17327, 3.17327
64705, 0.642882, 0.000115492, 3.12266, 3.12266
63141, 0.617606, 0.000110952, 3.0742, 3.0742
61555, 0.592282, 0.0001064, 3.02411, 3.02411
59948, 0.567458, 0.000101941, 2.97503, 2.97503
58292, 0.542576, 9.7471e-05, 2.92539, 2.92539
56620, 0.518448, 9.31348e-05, 2.87785, 2.87785
54900, 0.49444, 8.8825e-05, 2.83056, 2.83056
53170, 0.470174, 8.44626e-05, 2.77923, 2.77923
51403, 0.447182, 8.03322e-05, 2.73419, 2.73419
49647, 0.424515, 7.62602e-05, 2.6874, 2.6874
47860, 0.402722, 7.23481e-05, 2.64463, 2.64463
46016, 0.380492, 6.83515e-05, 2.59877, 2.59877
44124, 0.35841, 6.43847e-05, 2.55292, 2.55292
42189, 0.336352, 6.04178e-05, 2.50569, 2.50569
40133, 0.314108, 5.6412e-05, 2.45986, 2.45986
38046, 0.292239, 5.24863e-05, 2.41413, 2.41413
35829, 0.270278, 4.854e-05, 2.37087, 2.37087
33560, 0.248441, 4.4612e-05, 2.32667, 2.32667
31201, 0.226711, 4.07034e-05, 2.28369, 2.28369
28787, 0.204989, 3.68028e-05, 2.23803, 2.23803
26024, 0.181546, 3.25867e-05, 2.19252, 2.19252
23135, 0.158157, 2.83363e-05, 2.14857, 2.14857
19764, 0.132548, 2.37373e-05, 2.10781, 2.10781
16034, 0.105371, 1.88021e-05, 2.06543, 2.06543
11339, 0.0732042, 1.30141e-05, 2.02905, 2.02905
4637, 0.0291681, 5.00833e-06, 1.97699, 1.97699
53, 0.000330903, 5.94461e-08, 1.96226, 1.96226
1, nan, 0, nan, nan
