gcc_size, pn 
126677, 0.989664
125391, 0.979617
124105, 0.96957
122820, 0.959531
121538, 0.949516
120257, 0.939508
118970, 0.929453
117681, 0.919383
116396, 0.909344
115109, 0.899289
113821, 0.889227
112530, 0.879141
111238, 0.869047
109953, 0.859008
108663, 0.84893
107376, 0.838875
106081, 0.828758
104790, 0.818672
103499, 0.808586
102207, 0.798492
100914, 0.788391
99615, 0.778242
98318, 0.768109
97021, 0.757977
95726, 0.747859
94424, 0.737688
93122, 0.727516
91819, 0.717336
90515, 0.707148
89204, 0.696906
87895, 0.68668
86581, 0.676414
85266, 0.666141
83953, 0.655883
82630, 0.645547
81310, 0.635234
79991, 0.62493
78669, 0.614602
77342, 0.604234
76011, 0.593836
74677, 0.583414
73345, 0.573008
72005, 0.562539
70660, 0.552031
69316, 0.541531
67956, 0.530906
66599, 0.520305
65219, 0.509523
63854, 0.498859
62474, 0.488078
61091, 0.477273
59708, 0.466469
58292, 0.455406
56856, 0.444188
55440, 0.433125
54003, 0.421898
52529, 0.410383
51035, 0.398711
49558, 0.387172
48046, 0.375359
46494, 0.363234
44973, 0.351352
43382, 0.338922
41794, 0.326516
40186, 0.313953
38529, 0.301008
36803, 0.287523
35060, 0.273906
33246, 0.259734
31454, 0.245734
29564, 0.230969
27573, 0.215414
25501, 0.199227
23308, 0.182094
20946, 0.163641
18301, 0.142977
15502, 0.121109
12232, 0.0955625
8076, 0.0630938
3044, 0.0237813
23, 0.000179687
1, 7.8125e-06
